EMP_CODIGO,REFERENCIA,COD_GRUPO,COD_SETOR_COMERCIAL,NUM_QUADRA,COD_ROTA_LEITURA,MATRICULA,SEQ_RESPONSAVEL,ECO_RESIDENCIAL,ECO_COMERCIAL,ECO_INDUSTRIAL,ECO_PUBLICA,ECO_OUTRAS,LTR_ATUAL,LTR_COLETADA,DAT_LEITURA,DIAS_LEITURA,CONS_MEDIDO,TIPO_LIGACAO,CATEGORIA,SUB_CATEGORIA,DSC_OCORRENCIA,COD_LEITURA_INF_1,COD_LEITURA_INF_2,COD_LEITURA_INF_3,HORA_LEITURA,DSC_SIMULTANEA,VOLUME_ESTIMADO,VOLUME_ESTIMADO_ACUM,FATURADO_MEDIA,COD_LEITURA_INT,STA_TROCA,EXCECAO,STA_ACEITA_LEITURA,COD_LATITUDE,COD_LONGITUDE,FRAUDE
2.0,2019-12-01,18.0,75.0,80.0,31.0,17857536,453585.0,0.0,0.0,0.0,1.0,0.0,186079.0,186079.0,2019-12-26,31.0,2118.0,Hidrometrado,PUBLICA,PUBLICA,NORMAL,,,,16:06:34,67-RETIDA - GRANDE CLIENTE,0.0,0.0,,900.0,N,Isento Agua e Esgoto,S,-20.47747,-54.76166,1
2.0,2019-09-01,19.0,62.0,150.0,32.0,17945983,870031.0,0.0,1.0,0.0,0.0,0.0,395.0,395.0,2019-09-26,28.0,218.0,Hidrometrado,COMERCIAL,COMERCIAL,NORMAL,507.0,,,11:51:04,01-EM MAOS,-2.0,0.0,,900.0,N,Normal,S,-20.413378,-54.555052,0
2.0,2019-02-01,18.0,75.0,80.0,31.0,17857536,453585.0,0.0,0.0,0.0,1.0,0.0,165262.0,165262.0,2019-02-26,28.0,1073.0,Hidrometrado,PUBLICA,PUBLICA,NORMAL,,,,11:50:59,67-RETIDA - GRANDE CLIENTE,0.0,0.0,,900.0,N,Isento Agua e Esgoto,S,-20.47747,-54.76166,0
2.0,2019-08-01,15.0,78.0,172.0,27.0,17490028,645532.0,1.0,0.0,0.0,0.0,0.0,714.0,714.0,2019-08-19,28.0,9.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,NORMAL,,,,15:52:28,02-CAIXA CORREIO,0.0,0.0,,900.0,N,Normal,S,-20.507476,-54.663976,1
2.0,2019-07-01,5.0,5.0,180.0,4.0,17129923,496163.0,0.0,0.0,0.0,1.0,0.0,569.0,569.0,2019-07-08,32.0,0.0,Hidrometrado,PUBLICA,PUBLICA,NORMAL,,,,11:19:07,10-ISENTA - NAO IMPRESSA,0.0,0.0,,905.0,N,Normal,S,-20.453935,-54.619645,0
2.0,2019-10-01,12.0,83.0,526.0,38.0,17455619,10394.0,1.0,0.0,0.0,0.0,0.0,901.0,901.0,2019-10-17,31.0,13.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,NORMAL,507.0,,,16:39:04,02-CAIXA CORREIO,0.0,0.0,,900.0,N,Normal,S,-20.535523,-54.648296,0
2.0,2019-06-01,51.0,2.0,36.0,1.0,17301832,153894.0,1.0,0.0,0.0,0.0,0.0,674.0,0.0,2019-06-24,30.0,0.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,MEDIDOR DE DIFÍCIL ACESSO,,,,10:20:59,02-CAIXA CORREIO,8.0,186.0,MEDIA,107.0,N,Normal,N,-20.98573,-54.504114,0
2.0,2019-05-01,8.0,1.0,102.0,1.0,17089519,887454.0,0.0,1.0,0.0,0.0,0.0,1118.0,1118.0,2019-05-13,31.0,4.0,Hidrometrado,COMERCIAL,COMERCIAL,NORMAL,,,,07:52:14,01-EM MAOS,0.0,0.0,,900.0,N,Normal,S,-20.457875,-54.606836,0
2.0,2019-03-01,18.0,82.0,204.0,34.0,17414885,410858.0,1.0,0.0,0.0,0.0,0.0,33.0,33.0,2019-03-27,29.0,11.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,NORMAL,,,,10:20:38,02-CAIXA CORREIO,0.0,0.0,,900.0,N,Normal,S,-20.533283,-54.658564,1
2.0,2019-01-01,8.0,1.0,102.0,1.0,17089519,887454.0,0.0,1.0,0.0,0.0,0.0,1104.0,1104.0,2019-01-16,33.0,3.0,Hidrometrado,COMERCIAL,COMERCIAL,NORMAL,,,,11:08:14,01-EM MAOS,0.0,0.0,,900.0,N,Normal,S,-20.457875,-54.606836,0
2.0,2019-12-01,4.0,33.0,143.0,19.0,17847821,470301.0,12.0,0.0,0.0,0.0,0.0,3363.0,3363.0,2019-12-09,32.0,92.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,NORMAL,,,,11:39:36,02-CAIXA CORREIO,0.0,0.0,,900.0,N,Normal,S,-20.424548,-54.635531,1
2.0,2019-09-01,4.0,17.0,16.0,11.0,17218108,470461.0,0.0,0.0,0.0,1.0,0.0,235.0,235.0,2019-09-05,29.0,24.0,Hidrometrado,PUBLICA,PUBLICA,NORMAL,515.0,,,10:57:31,69-RETIDA - CONSOLIDADO,0.0,0.0,,900.0,N,Normal,S,-20.461595,-54.634916,0
2.0,2019-02-01,4.0,33.0,143.0,19.0,17847821,470301.0,12.0,0.0,0.0,0.0,0.0,2506.0,2506.0,2019-02-07,28.0,81.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,NORMAL,,,,10:37:48,02-CAIXA CORREIO,0.0,0.0,,900.0,N,Normal,S,-20.424548,-54.635531,1
2.0,2019-08-01,15.0,78.0,246.0,28.0,17857071,702713.0,0.0,1.0,0.0,0.0,0.0,803.0,803.0,2019-08-22,30.0,9.0,Hidrometrado,COMERCIAL,COMERCIAL,NORMAL,,,,11:02:26,02-CAIXA CORREIO,0.0,0.0,,900.0,N,Normal,S,-20.510654,-54.661738,0
2.0,2019-07-01,12.0,43.0,682.0,17.0,17901794,612973.0,1.0,0.0,0.0,0.0,0.0,73637.0,73637.0,2019-07-23,32.0,122.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,NORMAL,,,,08:26:59,66-RETIDA - MACRO,0.0,0.0,,900.0,N,Isento Agua e Esgoto,S,-20.499786,-54.663201,1
2.0,2019-10-01,15.0,37.0,330.0,13.0,17123270,110899.0,1.0,0.0,0.0,0.0,0.0,425.0,425.0,2019-10-22,33.0,16.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,NORMAL,507.0,,,11:17:19,02-CAIXA CORREIO,0.0,0.0,,900.0,N,Normal,S,-20.432084,-54.657327,0
2.0,2019-06-01,51.0,2.0,54.0,1.0,17816579,615955.0,1.0,0.0,0.0,0.0,0.0,3630.0,0.0,2019-06-24,30.0,0.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,MEDIDOR DE DIFÍCIL ACESSO,,,,11:22:25,04-FIXADA AO PORTAO,23.0,23.0,MEDIA,107.0,N,Normal,N,-20.98281,-54.504924,0
2.0,2019-05-01,8.0,4.0,198.0,2.0,17269471,822506.0,0.0,1.0,0.0,0.0,0.0,1185.0,1185.0,2019-05-10,29.0,5.0,Hidrometrado,COMERCIAL,COMERCIAL,NORMAL,507.0,,,14:44:43,01-EM MAOS,0.0,0.0,,900.0,N,Normal,S,-20.44841,-54.585849,1
2.0,2019-03-01,13.0,19.0,22.0,9.0,17264874,140166.0,1.0,0.0,0.0,0.0,0.0,481.0,481.0,2019-03-22,31.0,0.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,NORMAL,,,,11:04:00,10-ISENTA - NAO IMPRESSA,0.0,0.0,,905.0,N,Normal,S,-20.482919,-54.630961,0
2.0,2019-01-01,8.0,4.0,198.0,2.0,17269471,822506.0,0.0,1.0,0.0,0.0,0.0,1151.0,1151.0,2019-01-14,33.0,3.0,Hidrometrado,COMERCIAL,COMERCIAL,NORMAL,,,,13:14:54,02-CAIXA CORREIO,0.0,0.0,,900.0,N,Normal,S,-20.44841,-54.585849,1
2.0,2019-12-01,10.0,9.0,110.0,6.0,17301363,511936.0,0.0,1.0,0.0,0.0,0.0,1319.0,1319.0,2019-12-19,29.0,16.0,Hidrometrado,COMERCIAL,COMERCIAL,NORMAL,,,,09:45:22,01-EM MAOS,0.0,0.0,,903.0,N,Normal,S,-20.476773,-54.585937,1
2.0,2019-09-01,14.0,15.0,60.0,5.0,17436794,192180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2019-09-17,0.0,0.0,Consumo Fixo,PUBLICA,PUBLICA,NORMAL,,,,11:42:53,10-ISENTA - NAO IMPRESSA,0.0,0.0,,900.0,N,Normal,S,-20.45188,-54.631186,0
2.0,2019-02-01,10.0,9.0,110.0,6.0,17301363,511936.0,0.0,1.0,0.0,0.0,0.0,1079.0,1079.0,2019-02-13,28.0,10.0,Hidrometrado,COMERCIAL,COMERCIAL,NORMAL,,,,11:31:29,01-EM MAOS,0.0,0.0,,903.0,N,Normal,S,-20.476773,-54.585937,0
2.0,2019-08-01,15.0,56.0,270.0,41.0,17792789,595791.0,1.0,0.0,0.0,0.0,0.0,315.0,315.0,2019-08-24,28.0,6.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,NORMAL,,,,12:53:27,04-FIXADA AO PORTAO,0.0,0.0,,900.0,N,Normal,S,-20.467036,-54.537019,1
2.0,2019-07-01,11.0,7.0,220.0,3.0,17779561,920788.0,0.0,1.0,0.0,0.0,0.0,225.0,225.0,2019-07-16,31.0,1.0,Hidrometrado,COMERCIAL,COMERCIAL,NORMAL,,,,14:23:49,01-EM MAOS,0.0,0.0,,900.0,N,Normal,S,-20.4775,-54.611307,0
2.0,2019-10-01,15.0,37.0,328.0,13.0,17123205,1000708.0,1.0,0.0,0.0,0.0,0.0,621.0,621.0,2019-10-22,32.0,9.0,Hidrometrado,RESIDENCIAL,RESIDENCIAL,NORMAL,507.0,,,09:31:00,02-CAIXA CORREIO,0.0,0.0,,900.0,N,Normal,S,-20.432795,-54.656538,0
